DateID,Date,Month,Quarter,Year
0,2024-04-14 23:14:03.729749,April,2,2024
1,2023-03-04 23:14:03.729749,March,1,2023
2,2024-08-05 23:14:03.729749,August,3,2024
3,2024-02-07 23:14:03.729749,February,1,2024
4,2024-01-28 23:14:03.729749,January,1,2024
5,2023-05-21 23:14:03.729749,May,2,2023
6,2024-03-31 23:14:03.729749,March,1,2024
7,2023-01-11 23:14:03.729749,January,1,2023
8,2023-05-09 23:14:03.729749,May,2,2023
9,2023-08-11 23:14:03.729749,August,3,2023
10,2023-07-21 23:14:03.729749,July,3,2023
11,2023-09-04 23:14:03.729749,September,3,2023
12,2023-03-19 23:14:03.729749,March,1,2023
13,2023-12-17 23:14:03.729749,December,4,2023
14,2023-05-01 23:14:03.729749,May,2,2023
15,2024-03-24 23:14:03.729749,March,1,2024
16,2023-01-07 23:14:03.729749,January,1,2023
17,2023-07-15 23:14:03.729749,July,3,2023
18,2024-08-21 23:14:03.729749,August,3,2024
19,2023-12-09 23:14:03.729749,December,4,2023
20,2023-03-12 23:14:03.729749,March,1,2023
21,2024-04-04 23:14:03.729749,April,2,2024
22,2024-06-09 23:14:03.729749,June,2,2024
23,2023-09-14 23:14:03.729749,September,3,2023
24,2024-09-24 23:14:03.729749,September,3,2024
25,2024-08-21 23:14:03.729749,August,3,2024
26,2024-08-10 23:14:03.729749,August,3,2024
27,2024-06-27 23:14:03.729749,June,2,2024
28,2024-04-02 23:14:03.729749,April,2,2024
29,2024-01-03 23:14:03.729749,January,1,2024
30,2024-07-02 23:14:03.729749,July,3,2024
31,2024-03-06 23:14:03.729749,March,1,2024
32,2024-06-22 23:14:03.729749,June,2,2024
33,2023-05-23 23:14:03.729749,May,2,2023
34,2024-06-24 23:14:03.729749,June,2,2024
35,2024-04-19 23:14:03.729749,April,2,2024
36,2023-10-31 23:14:03.729749,October,4,2023
37,2022-11-05 23:14:03.729749,November,4,2022
38,2023-11-06 23:14:03.729749,November,4,2023
39,2023-11-21 23:14:03.729749,November,4,2023
40,2023-07-20 23:14:03.729749,July,3,2023
41,2023-11-16 23:14:03.729749,November,4,2023
42,2024-05-09 23:14:03.729749,May,2,2024
43,2024-09-03 23:14:03.729749,September,3,2024
44,2023-02-28 23:14:03.729749,February,1,2023
