PostID,PostContent,Platform,PostDate
0,Sample food ads content 0,Twitter,2023-01-22 23:14:03.729749
1,Sample food ads content 1,Instagram,2024-01-28 23:14:03.729749
2,Sample games content 2,Twitter,2024-03-15 23:14:03.729749
3,Sample course content 3,Snapchat,2023-09-23 23:14:03.729749
4,Sample announcement content 4,Instagram,2024-01-27 23:14:03.729749
5,Sample games content 5,Facebook,2022-12-19 23:14:03.729749
6,Sample announcement content 6,Instagram,2023-12-21 23:14:03.729749
7,Sample memes content 7,Twitter,2023-07-15 23:14:03.729749
8,Sample graphics content 8,Snapchat,2022-12-02 23:14:03.729749
9,Sample announcement content 9,Snapchat,2023-06-07 23:14:03.729749
10,Sample photos content 10,Twitter,2024-02-13 23:14:03.729749
11,Sample tech content 11,Twitter,2022-11-30 23:14:03.729749
12,Sample course content 12,Twitter,2023-12-15 23:14:03.729749
13,Sample games content 13,TikTok,2024-09-09 23:14:03.729749
14,Sample graphics content 14,Instagram,2023-10-11 23:14:03.729749
15,Sample food ads content 15,Facebook,2024-06-18 23:14:03.729749
16,Sample course content 16,Instagram,2023-08-30 23:14:03.729749
17,Sample announcement content 17,TikTok,2023-10-09 23:14:03.729749
18,Sample photos content 18,TikTok,2023-06-04 23:14:03.729749
19,Sample tech content 19,Instagram,2024-03-12 23:14:03.729749
20,Sample memes content 20,Snapchat,2024-08-06 23:14:03.729749
21,Sample memes content 21,Instagram,2024-02-01 23:14:03.729749
22,Sample photos content 22,TikTok,2024-07-07 23:14:03.729749
23,Sample shopping content 23,TikTok,2024-08-18 23:14:03.729749
24,Sample memes content 24,Twitter,2023-02-06 23:14:03.729749
25,Sample photos content 25,Snapchat,2024-05-14 23:14:03.729749
26,Sample announcement content 26,Snapchat,2024-10-06 23:14:03.729749
27,Sample memes content 27,Twitter,2023-04-18 23:14:03.729749
28,Sample games content 28,Instagram,2024-02-23 23:14:03.729749
29,Sample photos content 29,Twitter,2023-06-25 23:14:03.729749
30,Sample graphics content 30,Snapchat,2024-04-10 23:14:03.729749
31,Sample course content 31,TikTok,2024-06-12 23:14:03.729749
32,Sample course content 32,Facebook,2024-06-02 23:14:03.729749
33,Sample announcement content 33,Snapchat,2023-04-05 23:14:03.729749
34,Sample games content 34,Snapchat,2024-03-03 23:14:03.729749
35,Sample memes content 35,Instagram,2024-06-20 23:14:03.729749
36,Sample food ads content 36,Instagram,2024-04-11 23:14:03.729749
